"cowcode","location","asciiname","longitude","latitude","event_date","side","numreports","max_scope","max_partviolence","max_secengagement","mean_avg_numparticipants","any_accessible","blocked","ooni_ratio","ooni","ioda_number","ioda","physical","year","imf_democ_exp","imf_autoc_exp","imf_democ_imp","imf_autoc_imp","imf_democ_trade","imf_autoc_trade","All_NGO","Global_NGO","National_ngo","gdp","tourism","military","oil","oda","remittances","filter_cap","shut_cap"
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-09-25,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-09-27,1,4,0,1,2,2000,NA,NA,NA,NA,0,0,1,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-09-30,1,1,0,2,2,2000,NA,NA,NA,NA,0,0,1,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-10-04,1,1,0,3,3,2000,NA,NA,NA,NA,0,0,1,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-10-07,1,1,0,1,2,NA,NA,NA,NA,NA,0,0,1,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-10-11,1,1,0,1,2,2000,NA,NA,NA,NA,0,0,1,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-10-13,1,2,0,0,1,8500,NA,NA,NA,NA,0,0,0,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-10-14,1,1,0,NA,2,25,NA,NA,NA,NA,0,0,1,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-10-15,1,1,0,NA,NA,200,NA,NA,NA,NA,0,0,NA,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-10-16,1,1,0,2,2,200,NA,NA,NA,NA,1,1,1,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
